(PDH-CSV 4.0) (,\\jyseong\processor(_total)\% processor time,\\jyseong\logicaldisk(c:)\disk reads/sec,\\jyseong\logicaldisk(c:)\disk writes/sec,\\jyseong\logicaldisk(c:)\disk read bytes/sec,\\jyseong\logicaldisk(c:)\disk write bytes/sec,\\jyseong\mssql$hekaton:databases(confluence)\log bytes flushed/sec
06/10/2016 12:01:09.692,0.961063478,0,1.972430801,0,7069.191991,0
06/10/2016 12:01:10.706,1.281595358,0,2.958601386,0,11613.49664,0
06/10/2016 12:01:11.720,1.025185557,0,1.972341173,0,7573.790104,0
06/10/2016 12:01:12.734,1.345697808,0,1.972488424,0,7574.355546,0
06/10/2016 12:01:13.748,0.961073245,0,2.958198108,0,11611.91364,0
06/10/2016 12:01:14.762,1.537995449,0,3.945244355,0,15654.7296,0
06/10/2016 12:01:15.776,1.025185557,0,4.931153476,0,24237.60556,89376.17052
06/10/2016 12:01:16.790,0.704663443,0,3.944601259,0,12622.72403,0
06/10/2016 12:01:17.804,1.025185557,0,1.972536801,0,8079.510735,0
06/10/2016 12:01:18.818,0.640560993,0,1.972395945,0,8078.93379,0
06/10/2016 12:01:19.832,1.281585623,0,1.972446451,0,8079.140665,11613.76471
06/10/2016 12:01:20.846,1.922619861,0,6.903311116,0,28780.89023,504.9278988
06/10/2016 12:01:21.860,0.704673305,0,1.972392388,0,4544.392062,0
06/10/2016 12:01:22.874,0.640560993,0,1.97240377,0,4544.418285,0
06/10/2016 12:01:23.888,0.896980656,0,1.972470638,0,4544.572351,0
06/10/2016 12:01:24.902,1.66621006,0,1.9722672,0,4544.103629,0
06/10/2016 12:01:25.916,0.704653651,0,5.917640282,0,25248.59854,0
06/10/2016 12:01:26.930,0.640570855,0,1.972393811,0,5049.328155,0
06/10/2016 12:01:27.944,0.704663443,0,1.972428667,0,5049.417388,0
06/10/2016 12:01:28.958,1.345697808,0,2.958634464,0,9088.925074,0
06/10/2016 12:01:29.972,2.884166478,0,1.972407326,0,5049.362755,2524.681378
06/10/2016 12:01:30.986,1.922610189,0,1.972400924,0,5554.281002,89878.36531
06/10/2016 12:01:32.000,1.025185557,0,2.958602453,0,9593.761555,0
06/10/2016 12:01:33.014,1.73031251,0,1.972420842,0,5554.337091,0
06/10/2016 12:01:34.028,1.60210761,0,2.958604587,0,9593.768475,0
06/10/2016 12:01:35.042,2.179039524,0,1.97233406,0,6059.010232,0
06/10/2016 12:01:36.056,1.217473304,0,3.945025223,0,22218.38206,0
06/10/2016 12:01:37.070,0.961083107,0,2.958588582,0,10098.64903,0
06/10/2016 12:01:38.084,1.345697808,0,1.97242511,0,6059.289938,0
06/10/2016 12:01:39.098,0.704663443,0,2.958616325,0,10098.74372,0
06/10/2016 12:01:40.112,1.025185557,0,1.972395233,0,6564.131337,0
06/10/2016 12:01:41.126,1.281585623,0,2.958584314,0,10603.56618,0
06/10/2016 12:01:42.140,1.345697808,0,4.931121464,0,22722.6077,0
06/10/2016 12:01:43.154,1.281595358,0,1.972400213,0,6564.147908,0
06/10/2016 12:01:44.168,0.896970794,0,2.958609922,0,10603.65796,0
06/10/2016 12:01:45.182,1.858517411,0,1.972425822,0,7069.174144,89374.55883
06/10/2016 12:01:46.196,0.961083107,0,1.972412306,0,7069.125704,0
06/10/2016 12:01:47.210,1.025175796,0,2.95857151,0,11108.44983,0
06/10/2016 12:01:48.224,2.755951715,0,1.972433647,0,7069.202189,0
06/10/2016 12:01:49.238,1.409800259,0,2.958622727,0,11108.64213,7574.07418
06/10/2016 12:01:50.252,1.217492908,0,1.972448585,0,7574.202568,0
06/10/2016 12:01:51.266,1.153390457,0,1.972372471,0,7573.910288,0
06/10/2016 12:01:52.280,1.025175796,0,23.66889645,0,82304.64259,0
06/10/2016 12:01:53.294,0.896970794,0,1.972421553,0,7574.098765,0
06/10/2016 12:01:54.308,1.409800259,0,2.958604587,0,11613.50921,0
06/10/2016 12:01:55.322,2.563654226,0,1.972413017,0,8079.003718,0
06/10/2016 12:01:56.336,1.217492908,0,1.972404481,0,8078.968754,0
06/10/2016 12:01:57.350,0.832858564,0,5.917230515,0,32315.96825,0
06/10/2016 12:01:58.380,1.451570748,0,1.942499545,0,7956.478138,0
06/10/2016 12:01:59.394,1.345688079,0,1.972460679,0,8079.198941,0
06/10/2016 12:02:00.423,1.325298771,0,1.94245608,0,8453.56886,88513.83865
06/10/2016 12:02:01.453,1.451561176,0,1.942577512,0,4475.698587,0
06/10/2016 12:02:02.483,1.135905052,0,3.885080506,0,12432.25762,0
06/10/2016 12:02:03.512,1.199036365,0,1.942529903,0,4475.588897,0
06/10/2016 12:02:04.542,1.451561176,0,1.942526453,0,4475.580949,0
06/10/2016 12:02:05.587,2.300541388,0,1.91353274,0,4898.643815,0
06/10/2016 12:02:06.617,1.325298771,0,1.942487816,0,4972.76881,0
06/10/2016 12:02:07.646,2.082873204,0,5.827635248,0,24864.57706,0
06/10/2016 12:02:08.676,1.07277396,0,1.942527833,0,4972.871253,0
06/10/2016 12:02:09.705,1.13589545,0,1.942538183,0,4972.897748,0
06/10/2016 12:02:10.751,0.994573393,0,3.827023971,0,13226.19484,0
06/10/2016 12:02:11.780,1.325298771,0,3.885074986,0,13426.81915,0
06/10/2016 12:02:12.825,1.554264449,0,4.783554017,0,24981.6325,0
06/10/2016 12:02:13.871,3.793094903,0,1.913662635,0,5388.873982,0
06/10/2016 12:02:14.916,2.611476559,0,1.913551487,0,5388.560987,0
06/10/2016 12:02:15.961,1.803029807,0,3.827034683,0,14205.95274,86215.43734
06/10/2016 12:02:16.991,0.946501842,0,1.942509895,0,5967.390396,0
06/10/2016 12:02:18.020,1.262167568,0,3.884997711,0,13923.8318,0
06/10/2016 12:02:19.050,1.262177158,0,1.942558192,0,5967.538766,0
06/10/2016 12:02:20.079,1.199036365,0,1.942524384,0,5967.434906,8951.15236
06/10/2016 12:02:21.125,1.80302024,0,1.913550817,0,6368.29712,0
06/10/2016 12:02:22.170,1.492075502,0,1.913495248,0,6368.112185,0
06/10/2016 12:02:23.199,1.07277396,0,6.798956087,0,30334.9995,0
06/10/2016 12:02:24.229,1.704095534,0,1.942484367,0,6464.587973,0
06/10/2016 12:02:25.259,2.335398015,0,1.942570612,0,6464.874996,0
06/10/2016 12:02:26.304,1.118941816,0,2.870238855,0,10776.79015,0
06/10/2016 12:02:27.333,1.135905163,0,1.942563022,0,6962.145871,0
06/10/2016 12:02:28.379,1.181130763,0,4.783776616,0,22533.50137,0
06/10/2016 12:02:29.408,1.13589545,0,2.913687225,0,10939.9243,0
06/10/2016 12:02:30.438,1.388439551,0,1.942356738,0,6961.406549,88509.31184
06/10/2016 12:02:31.483,1.056752868,0,1.913807282,0,7349.019962,0
06/10/2016 12:02:32.513,2.146004407,0,1.942523004,0,7459.288334,0
06/10/2016 12:02:33.558,4.850307376,0,5.74069865,0,17145.5533,0
06/10/2016 12:02:34.603,4.663740087,0,1.913515333,0,7347.898878,0
06/10/2016 12:02:35.648,2.113964978,0,3.827006564,0,12246.421,0
06/10/2016 12:02:36.678,1.135905163,0,2.913735864,0,11934.6621,0
06/10/2016 12:02:37.707,1.577823582,0,16.5104486,0,72599.35611,33813.39874
06/10/2016 12:02:38.737,0.820239436,0,5.828047191,0,27850.29484,0
06/10/2016 12:02:39.767,0.63085554,0,1.942442972,0,7956.246413,0
06/10/2016 12:02:40.796,1.072783568,0,2.913626169,0,11934.21279,0
06/10/2016 12:02:41.826,0.820239436,0,2.913842463,0,8454.028266,0
06/10/2016 12:02:42.855,0.946511554,0,11.65618547,0,44262.42163,0
06/10/2016 12:02:43.885,0.883370639,0,4.855967729,0,24365.30367,0
06/10/2016 12:02:44.915,1.009642757,0,1.942534733,0,4475.600025,0
06/10/2016 12:02:45.944,1.640954785,0,1.942479537,0,4475.472854,88514.90755
06/10/2016 12:02:46.989,1.118941816,0,3.82737884,0,12737.51678,0
06/10/2016 12:02:48.035,2.051785401,0,1.913548809,0,4898.68495,0
06/10/2016 12:02:49.064,1.199036365,0,1.942500925,0,4972.802369,0
06/10/2016 12:02:50.094,0.820249149,0,1.942539563,0,4972.901281,0
